10	300
20110318_0004	0	585
20110318_0005	0	524
20110318_0005	0	525
20110318_0024	0	493
20110318_0024	0	501
20110318_0024	0	503
20110318_0024	0	500
20110318_0024	0	510
20110318_0040	0	493
20110318_0040	0	513
20110319_0022	0	579
20110319_0027	0	652
20110319_0027	0	640
20110319_0027	0	645
20110319_0027	0	639
20110319_0037	0	532
20110319_0087	0	687
20110319_0087	0	678
20110319_0087	0	670
20110319_0087	0	686
20110319_0091	0	572
20110319_0091	0	574
20110319_0091	0	554
20110319_0091	0	556
20110319_0100	0	511
20110319_0100	0	525
20110319_0100	0	512
20110319_0100	0	522
20110319_0100	0	533
20110319_0122	0	559
20110319_0122	0	565
20110319_0176	0	570
20110319_0176	0	579
20110319_0176	0	562
20110319_0176	0	569
20110319_0177	0	506
20110319_0177	0	500
20110319_0181	0	630
20110319_0181	0	621
20110319_0181	0	625
20110319_0181	0	612
20110319_0189	0	543
20110319_0189	0	564
20110319_0190	0	550
20110319_0190	0	562
20110319_0190	0	567
20110319_0190	0	552
20110319_0207	0	605
20110319_0207	0	615
20110319_0207	0	618
20110319_0207	0	624
20110319_0218	0	592
20110319_0218	0	604
20110319_0226	0	712
20110319_0226	0	732
20110319_0227	0	658
20110319_0227	0	646
20110319_0227	0	648
20110319_0227	0	644
20110319_0227	0	645
20110319_0228	0	567
20110319_0228	0	570
20110319_0228	0	557
20110319_0228	0	573
20110319_0228	0	566
20110320_0008	0	757
20110320_0008	0	743
20110320_0010	0	540
20110320_0010	0	557
20110320_0010	0	538
20110320_0010	0	551
20110320_0010	0	549
20110320_0027	0	660
20110320_0027	0	653
20110320_0027	0	652
20110320_0043	0	591
20110320_0043	0	587
20110320_0064	0	680
20110320_0064	0	672
20110320_0064	0	675
20110320_0065	0	889
20110320_0067	0	811
20110320_0067	0	812
20110320_0067	0	818
20110320_0067	0	827
20110320_0098	0	726
20110320_0117	0	723
20110320_0117	0	738
20110320_0117	0	731
20110320_0117	0	729
20110320_0117	0	722
20110320_0134	0	681
20110320_0134	0	669
20110320_0134	0	679
20110320_0135	0	700
20110320_0135	0	718
20110320_0135	0	712
20110320_0135	0	702
20110320_0135	0	699
20110320_0138	0	639
20110320_0138	0	635
20110320_0156	0	785
20110320_0156	0	772
20110320_0156	0	773
20110320_0156	0	775
20110320_0161	0	674
20110320_0161	0	664
20110320_0161	0	657
20110320_0161	0	660
20110320_0167	0	671
20110320_0167	0	668
20110320_0167	0	676
20110320_0167	0	677
20110320_0167	0	683
20110320_0167	0	670
20110320_0173	0	659
20110320_0173	0	671
20110320_0173	0	663
20110320_0178	0	785
20110320_0178	0	782
20110320_0187	0	732
20110320_0194	0	889
20110320_0194	0	896
20110422_0033	0	568
20110422_0033	0	571
20110422_0033	0	578
20110422_0033	0	563
20110422_0034	0	590
20110422_0034	0	597
20110422_0034	0	589
20110422_0052	0	513
20110422_0052	0	502
20110422_0065	0	770
20110422_0065	0	776
20110422_0065	0	774
20110422_0065	0	761
20110422_0065	0	765
20110422_0066	0	546
20110422_0066	0	523
20110422_0066	0	532
20110422_0073	0	596
20110422_0073	0	607
20110422_0073	0	612
20110422_0073	0	597
20110422_0073	0	619
20110422_0082	0	594
20110422_0082	0	598
20110422_0082	0	597
20110422_0082	0	599
20110422_0090	0	570
20110422_0090	0	571
20110422_0090	0	565
20110422_0090	0	563
20110422_0090	0	560
20110422_0106	0	497
20110422_0106	0	491
20110423_0004	0	644
20110423_0004	0	628
20110423_0005	0	658
20110423_0005	0	662
20110423_0005	0	670
20110423_0010	0	650
20110423_0010	0	647
20110423_0010	0	639
20110423_0010	0	658
20110423_0010	0	651
20110423_0010	0	638
20110423_0031	0	840
20110423_0031	0	843
20110423_0031	0	854
20110423_0031	0	855
20110423_0038	0	791
20110423_0044	0	1003
20110423_0044	0	960
20110423_0044	0	966
20110423_0081	0	804
20110423_0086	0	616
20110423_0086	0	631
20110423_0086	0	614
20110423_0088	0	961
20110423_0088	0	959
20110423_0088	0	953
20110423_0088	0	948
20110423_0088	0	954
20110423_0088	0	970
20110423_0088	0	946
20110423_0088	0	968
20110423_0092	0	675
20110423_0092	0	695
20110423_0092	0	687
20110423_0094	0	691
20110423_0123	0	685
20110423_0123	0	665
20110423_0160	0	581
20110423_0160	0	566
20110423_0160	0	578
20110423_0161	0	916
20110423_0161	0	905
20110423_0161	0	895
20110423_0161	0	903
20110423_0161	0	897
20110423_0168	0	593
20110423_0170	0	659
20110423_0201	0	738
20110423_0201	0	725
20110423_0201	0	733
20110423_0201	0	724
20110423_0201	0	742
20110423_0204	0	619
20110423_0204	0	625
20110423_0204	0	613
20110423_0242	0	580
20110423_0242	0	578
20110423_0242	0	599
20110423_0242	0	576
20110423_0242	0	581
20110423_0242	0	583
20110423_0255	0	957
20110423_0255	0	969
20110423_0261	0	858
20110423_0261	0	863
20110423_0261	0	866
20110423_0269	0	689
20110423_0269	0	703
20110423_0269	0	693
20110423_0269	0	705
20110423_0269	0	698
20110423_0277	0	771
20110423_0277	0	772
20110423_0277	0	787
20110423_0277	0	781
20110423_0277	0	780
20110423_0285	0	1109
20110423_0285	0	1108
20110423_0292	0	682
